[2026-02-15 16:12:08] Conectado ao CLP na porta COM2.
[2026-02-15 16:12:11] Monitor iniciado para 12 TAGs.
[2026-02-15 16:13:19] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [49, 0].
[2026-02-15 16:13:19] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [49, 0].
[2026-02-15 16:13:19] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [50, 0].
[2026-02-15 16:13:20] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [50, 0].
[2026-02-15 16:13:20] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [50, 0].
[2026-02-15 16:13:22] Alteracao salva: TAG PECAPH29 (DM 0..1) = [51, 0].
[2026-02-15 16:13:22] Alteracao salva: TAG PECAPH30 (DM 2..3) = [52, 0].
[2026-02-15 16:13:22] Alteracao salva: TAG PECAPH31 (DM 4..5) = [53, 0].
[2026-02-15 16:13:22] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [53, 0].
[2026-02-15 16:13:23] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [53, 0].
[2026-02-15 16:13:23] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [53, 0].
[2026-02-15 16:13:23] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [54, 0].
[2026-02-15 16:13:24] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [54, 0].
[2026-02-15 16:13:24] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [55, 0].
[2026-02-15 16:13:25] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [55, 0].
[2026-02-15 16:13:25] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [55, 0].
[2026-02-15 16:13:25] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [56, 0].
[2026-02-15 16:13:27] Alteracao salva: TAG PECAPH29 (DM 0..1) = [56, 0].
[2026-02-15 16:13:27] Alteracao salva: TAG PECAPH30 (DM 2..3) = [57, 0].
[2026-02-15 16:13:27] Alteracao salva: TAG PECAPH31 (DM 4..5) = [64, 0].
[2026-02-15 16:13:28] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [64, 0].
[2026-02-15 16:13:28] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [64, 0].
[2026-02-15 16:13:28] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [65, 0].
